Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,1321.900024,1325.000000,1309.400024,1317.550049,1305.460205,6831331
2019-06-17,1320.000000,1320.000000,1278.500000,1282.300049,1270.533691,6815554
2019-06-18,1278.900024,1287.949951,1269.099976,1281.000000,1269.245483,7679193
2019-06-19,1286.900024,1302.000000,1262.599976,1277.349976,1265.629028,6625604
2019-06-20,1280.000000,1300.000000,1278.000000,1296.750000,1284.851074,4914012
2019-06-21,1295.949951,1296.000000,1275.550049,1279.500000,1267.759277,10623098
2019-06-24,1272.150024,1276.449951,1257.099976,1262.400024,1250.816162,5150998
2019-06-25,1258.900024,1298.000000,1254.250000,1295.849976,1283.959229,6842363
2019-06-26,1291.000000,1304.599976,1286.349976,1294.150024,1282.274902,5299942
2019-06-27,1293.150024,1296.900024,1271.000000,1274.150024,1262.458374,11385972
2019-06-28,1277.099976,1282.849976,1248.650024,1253.099976,1241.601440,8659721
2019-07-01,1258.050049,1272.650024,1246.449951,1268.849976,1257.207031,6162080
2019-07-02,1273.949951,1281.000000,1263.300049,1278.500000,1266.768555,4638751
2019-07-03,1282.900024,1286.500000,1275.050049,1282.550049,1270.781372,4026032
2019-07-04,1281.400024,1291.000000,1280.000000,1284.000000,1272.218018,4275148
2019-07-05,1285.099976,1290.500000,1260.000000,1263.349976,1251.757446,4995344
2019-07-08,1258.000000,1268.099976,1248.199951,1252.050049,1240.561279,6404544
2019-07-09,1248.949951,1283.500000,1245.500000,1280.099976,1268.353760,8016757
2019-07-10,1280.050049,1289.349976,1268.699951,1278.849976,1267.115234,5494315
2019-07-11,1287.000000,1289.800049,1279.300049,1281.550049,1269.790527,3935460
2019-07-12,1283.000000,1300.000000,1278.050049,1280.500000,1268.750122,7174054
2019-07-15,1285.000000,1289.500000,1270.349976,1276.099976,1264.390503,4873164
2019-07-16,1279.949951,1294.900024,1277.050049,1293.000000,1281.135498,4604019
2019-07-17,1294.300049,1297.000000,1280.000000,1281.849976,1270.087646,4334958
2019-07-18,1282.000000,1286.400024,1258.000000,1261.849976,1250.271240,5459896
2019-07-19,1268.199951,1272.949951,1242.699951,1249.000000,1237.539185,7468515
2019-07-22,1251.000000,1284.500000,1227.300049,1280.500000,1268.750122,13300153
2019-07-23,1285.000000,1293.900024,1260.400024,1273.550049,1261.864014,9287951
2019-07-24,1273.500000,1278.800049,1253.550049,1259.099976,1247.546387,6943982
2019-07-25,1264.000000,1269.050049,1227.000000,1231.500000,1220.199707,9968545
2019-07-26,1231.500000,1242.500000,1210.000000,1213.800049,1202.662231,9320481
2019-07-29,1216.900024,1222.000000,1205.099976,1210.949951,1199.838257,8058035
2019-07-30,1213.949951,1220.000000,1175.949951,1180.900024,1170.064087,9533344
2019-07-31,1175.750000,1185.000000,1162.400024,1166.250000,1155.548462,9705619
2019-08-01,1163.400024,1188.199951,1150.349976,1180.250000,1169.420044,10344862
2019-08-02,1175.699951,1198.250000,1162.099976,1184.349976,1179.919556,10865385
2019-08-05,1167.000000,1167.000000,1128.000000,1143.349976,1139.072998,13897461
2019-08-06,1134.750000,1149.599976,1122.000000,1128.300049,1124.079346,13288909
2019-08-07,1126.500000,1138.550049,1103.099976,1109.400024,1105.250000,11588879
2019-08-08,1108.349976,1158.000000,1095.300049,1152.349976,1148.039307,14262936
2019-08-09,1161.849976,1175.500000,1152.300049,1162.099976,1157.752808,10043949
2019-08-13,1233.150024,1302.800049,1226.000000,1274.750000,1269.981445,47923444
2019-08-14,1304.000000,1304.449951,1280.349976,1288.250000,1283.430908,14487137
2019-08-16,1291.199951,1291.800049,1273.000000,1278.000000,1273.219238,10047496
2019-08-19,1281.050049,1296.800049,1280.000000,1292.599976,1287.764648,7459859
2019-08-20,1289.800049,1292.599976,1272.599976,1275.949951,1271.176880,6843460
2019-08-21,1275.650024,1278.650024,1266.500000,1270.949951,1266.195557,4881553
